ID,P.Value,logFC,Gene.symbol
205627_at,0.0191641,1.02391318,CDA
220039_s_at,0.0192824,1.29108575,CDKAL1
207078_at,0.0193352,0.69818695,MED6
222299_x_at,0.0193836,2.15562095,
218306_s_at,0.0193992,-0.5783551,HERC1
208195_at,0.0194716,1.07777677,TTN
216500_at,0.019491,1.70879211,
208849_at,0.019577,0.81455647,
209472_at,0.0196275,-0.95810589,KYAT3
210765_at,0.0196741,1.37325146,CSE1L
215128_at,0.0196771,0.88805071,
214412_at,0.0197649,1.02285699,H2AFB1///H2AFB2///H2AFB3
201081_s_at,0.0197788,-1.12110243,PIP4K2B
205132_at,0.0198384,-0.95172071,ACTC1
206123_at,0.0198591,0.86176025,LLGL1
222138_s_at,0.0199463,-0.70371672,WDR13
203754_s_at,0.0199587,1.05602664,BRF1
215491_at,0.0200432,-1.24309022,MYCL
203768_s_at,0.0200666,0.78869971,STS
205372_at,0.0201521,0.69830179,PLAG1
37425_g_at,0.0201732,1.18256702,CCHCR1
212275_s_at,0.0201975,0.75996152,SRCAP
203224_at,0.0202288,-1.07972794,RFK
204582_s_at,0.020302,0.89027358,KLK3
214509_at,0.020441,1.77107077,HIST1H3I
207242_s_at,0.0204423,-1.56570823,GRIK1
202445_s_at,0.0204689,0.85553692,NOTCH2
212879_x_at,0.0204876,0.75438969,PIAS4
221035_s_at,0.020545,1.24911887,TEX14
220160_s_at,0.0205861,1.077832,KPTN
204822_at,0.0205965,-0.88623032,TTK
212464_s_at,0.0206314,-0.94861053,FN1
221170_at,0.0206929,0.98748305,HRH4
209726_at,0.0207184,-0.61975778,CA11
215072_x_at,0.0208419,1.66172171,EDRF1
222041_at,0.021003,0.649842,OVCA2///DPH1
214777_at,0.021038,0.90881687,IGKC
216198_at,0.021051,2.10110934,
221625_at,0.0210669,-1.41121599,ZNF506
201939_at,0.0211271,-1.38650651,PLK2
209804_at,0.0211667,-1.47628273,DCLRE1A
204318_s_at,0.0211843,0.84631672,GTSE1
AFFX-r2-Hs28SrRNA-3_at,0.021294,-1.58145922,
213895_at,0.0213089,0.88353365,EMP1
218888_s_at,0.0213566,-0.98252451,NETO2
215410_at,0.0213681,1.63096113,PMS2P9///PMS2P6///LOC441259///PMS2P5///PMS2P4///PMS2P1
222048_at,0.0214883,-1.70264781,CRYBB2P1
207635_s_at,0.0215031,1.27668235,KCNH1
221721_s_at,0.021614,0.74570113,LZTS1
212667_at,0.0216489,1.11073831,SPARC
204121_at,0.0216727,1.20020394,GADD45G
205846_at,0.0217031,0.93464365,PTPRB
220317_at,0.0217208,1.52278,LRAT
215191_at,0.0217836,0.98531957,
209869_at,0.0217888,0.66635856,ADRA2A
AFFX-ThrX-3_at,0.0218591,1.04714481,
212000_at,0.0220591,-1.21461485,SUGP2
208111_at,0.0220977,1.8956023,AVPR2
206137_at,0.0221437,-0.94083249,RIMS2
205947_s_at,0.0222522,0.9561487,VIPR2
218808_at,0.0223147,1.3174101,DALRD3
203010_at,0.0223215,0.61849006,STAT5A
215288_at,0.0223575,1.69308647,TRPC2
203510_at,0.0223782,-1.95979908,MET
211435_at,0.0226372,1.12269201,
206876_at,0.0226961,-1.30594103,SIM1
207829_s_at,0.0227617,-1.12301976,BNIP1
222234_s_at,0.0227879,-1.02989405,DBNDD1
AFFX-r2-Hs28SrRNA-M_at,0.0229147,1.66805991,
206617_s_at,0.022918,0.76787614,RENBP
219973_at,0.0230308,1.92796369,ARSJ
