ID,P.Value,logFC,Gene.symbol
210605_s_at,0.0264155,0.8054488,MFGE8
216425_at,0.0264655,-1.2995607,
210613_s_at,0.0264802,1.1673917,SYNGR1
206507_at,0.0264964,0.5778911,ZSCAN12
207793_s_at,0.0264996,2.2594951,EPB41
219582_at,0.0265184,-1.1675549,OGFRL1
215908_at,0.0265572,1.2441765,
209843_s_at,0.0265797,1.2546356,SOX10
207495_at,0.0269163,-1.4182465,RAB28
204577_s_at,0.026926,0.7179936,CLUAP1
211861_x_at,0.0270516,-1.8459816,CD28
203323_at,0.0270932,0.5701649,CAV2
207008_at,0.0271277,1.5500781,CXCR2
AFFX-PheX-3_at,0.0272929,0.8732056,
214975_s_at,0.0273067,0.8869883,MTMR1
208143_s_at,0.0273072,1.9585823,EDDM3A
210079_x_at,0.0274096,0.8922328,KCNAB1
217355_at,0.0274648,0.948253,
219170_at,0.0276951,-0.6274816,FSD1
209012_at,0.0278635,-0.8275473,TRIO
203809_s_at,0.0278821,0.8371257,AKT2
210000_s_at,0.0279426,1.720261,SOCS1
213871_s_at,0.0281542,0.7112033,DNPH1
215088_s_at,0.0282114,0.5702139,SDHC
209144_s_at,0.0282135,1.2095286,CBFA2T2
210371_s_at,0.028345,0.5342413,RBBP4
217364_x_at,0.0283667,-0.6569434,
203234_at,0.028367,-0.7206211,UPP1
208383_s_at,0.0284265,2.2334442,PCK1
209114_at,0.0284273,-0.6734317,TSPAN1
204111_at,0.0284343,1.5841231,HNMT
206441_s_at,0.0285264,1.1376649,COMMD4
202684_s_at,0.0285605,1.5754673,RNMT
214199_at,0.0285882,0.602829,SFTPD
207726_at,0.0287046,-0.717763,ESRRB
201058_s_at,0.0287471,1.3232553,MYL9
217154_s_at,0.0287762,1.1634418,EDN3
202952_s_at,0.028795,-2.0657409,ADAM12
217386_at,0.0288334,1.3943579,
203092_at,0.0289321,-0.5592118,TIMM44
222194_at,0.0290614,1.8165423,FAM66D
208269_s_at,0.0291509,1.3098603,ADAM28
204841_s_at,0.0293008,0.9131745,EEA1
215229_at,0.02932,1.2109459,LOC100129973
205402_x_at,0.0293472,0.8135569,PRSS2
204444_at,0.0293545,-1.5794606,KIF11
211508_s_at,0.0293566,1.6802578,GH2
221415_s_at,0.0293604,-1.092665,GJA9-MYCBP///GJA9///MYCBP
208218_s_at,0.0293719,-1.1421629,ACVR1B
215657_at,0.0295092,1.5361293,SLC26A3
216529_at,0.0295223,-2.1199668,
204079_at,0.0295493,-0.6425276,TPST2
217593_at,0.0295736,1.2250764,ZSCAN18
210585_s_at,0.0296394,1.7233587,TNPO2
211343_s_at,0.0297839,-1.9193429,COL13A1
204224_s_at,0.0298334,-0.5925432,GCH1
217647_at,0.0298594,-1.1746541,DHODH
221048_x_at,0.0299535,0.5855342,C17orf80
222134_at,0.029978,1.4159888,DDO
210930_s_at,0.0300208,1.4156585,ERBB2
217137_x_at,0.0300661,1.3467223,
220677_s_at,0.0301959,0.9529223,ADAMTS8
207775_at,0.0303157,0.877933,MGC4859
214768_x_at,0.0303169,1.1639502,IGKC
213679_at,0.0303842,0.6556612,TTC30A
221153_s_at,0.0304124,-1.5574354,
216067_at,0.0306646,-1.8870751,
208663_s_at,0.0306848,0.6204397,TTC3P1///TTC3
222226_at,0.0307227,0.8556269,SAA3P
209288_s_at,0.0309383,-1.0166239,CDC42EP3
210631_at,0.0310708,1.0082629,NF1P9///NF1
203588_s_at,0.0310776,1.2199529,TFDP2
215910_s_at,0.0311939,1.6268582,FNDC3A
205248_at,0.0313367,0.8867081,DOPEY2
210383_at,0.031345,-0.6522569,SCN1A
215609_at,0.0313875,1.2394277,
206634_at,0.0314423,-1.4671241,SIX3
221071_at,0.0314932,1.0488796,
202339_at,0.0316144,1.4087743,SYMPK
210887_s_at,0.0316507,0.9060631,EVC
203184_at,0.0316822,0.5915176,FBN2
205870_at,0.0317246,-1.4157662,BDKRB2
215412_x_at,0.0318608,0.5377478,PMS2P8
207266_x_at,0.0318713,-1.0965475,RBMS1
214723_x_at,0.0319463,0.7205534,ANKRD36
216978_x_at,0.0320554,1.4489145,
213645_at,0.0321211,0.8346316,ENOSF1
216897_s_at,0.0322133,1.2557164,FAM76A
217085_at,0.0322448,1.4225681,
214186_s_at,0.0323186,0.8576054,HCG26
212029_s_at,0.0324602,-0.7730859,PTOV1-AS2
203111_s_at,0.0326761,1.4157929,PTK2B
205275_at,0.0327594,1.4585947,GTPBP1
213020_at,0.0328131,-0.6010257,GOSR1
201262_s_at,0.0330405,1.2802041,BGN
220427_at,0.033214,0.622879,OBSCN
202064_s_at,0.0332147,-1.1936556,SEL1L
215640_at,0.0332854,0.7491231,TBC1D2B
205582_s_at,0.0333073,1.3933921,GGT5
214995_s_at,0.0333264,-1.3959343,APOBEC3F///APOBEC3G
204714_s_at,0.0334199,1.771939,F5
203877_at,0.033482,0.9383886,MMP11
204830_x_at,0.0335176,1.3987784,PSG5
217309_s_at,0.0335352,-0.7127252,DSCR3
207240_s_at,0.0335707,1.6214001,LHCGR
207666_x_at,0.0335717,1.6919763,SSX3
221402_at,0.0338113,0.6552752,OR1F1
202870_s_at,0.0338329,1.0504179,CDC20
