ID,P.Value,logFC,Gene.symbol
204320_at,0.0216735,0.7863394,COL11A1
217468_at,0.0217733,1.4156341,CYP2D6
218551_at,0.0217733,0.5289631,MIIP
206651_s_at,0.0218447,1.1917174,CPB2
208506_at,0.0220503,0.8285342,HIST1H3F
202680_at,0.02212,-0.4820858,GTF2E2
209913_x_at,0.0221376,0.9007633,MIR4656///AP5Z1
208031_s_at,0.0222034,0.7139168,RFX2
205911_at,0.0222217,0.5263459,PTH1R
216731_s_at,0.0222764,2.1317333,
211390_at,0.022296,-1.2421688,N4BP2L1
221905_at,0.0223097,0.8963279,CYLD
32088_at,0.0223265,-0.7128191,BLZF1
208890_s_at,0.0224616,0.7834674,PLXNB2
211894_x_at,0.022509,-0.5480659,SEZ6L
209777_s_at,0.0225993,0.9120638,SLC19A1
211863_x_at,0.0226073,-0.5675438,HFE
217983_s_at,0.0226211,-0.6930521,RNASET2
203387_s_at,0.02271,0.5893736,TBC1D4
213662_at,0.022716,-1.4181843,FAM134B
212081_x_at,0.0227433,0.5216251,PRRC2A
205769_at,0.022749,-1.1761167,SLC27A2
215261_at,0.0227984,-1.2495337,
207178_s_at,0.0228534,1.3741641,FRK
219516_at,0.0229197,1.0159607,TRPV4
217537_x_at,0.0229535,0.7072795,
204135_at,0.0230449,-0.6945818,FILIP1L
209870_s_at,0.023181,-0.6821385,APBA2
214825_at,0.0232081,-0.6753763,FAM155A
217177_s_at,0.0233155,1.0146805,PTPRB
212469_at,0.023399,-0.8685572,NIPBL
206105_at,0.0234097,-0.6290276,AFF2
221288_at,0.0234566,-1.3376998,GPR22
217575_s_at,0.023549,-1.1501295,SOS2
217416_x_at,0.0235957,0.6578183,
221092_at,0.0236809,-1.446739,IKZF3
207117_at,0.0237053,-1.4174341,ZNF117
215435_at,0.0237592,0.6980903,
213393_at,0.0237783,0.5229846,MFSD9
219088_s_at,0.0237915,1.2348696,ZNF576
205014_at,0.0238149,-1.1964663,FGFBP1
209292_at,0.0238196,0.9478959,ID4
218888_s_at,0.0238565,-0.8122798,NETO2
216709_at,0.0238735,-0.9435143,
213303_x_at,0.023881,0.6856477,ZBTB7A
204803_s_at,0.0239926,1.8494774,RRAD
215339_at,0.0240503,2.2529524,NKTR
202026_at,0.0241193,-0.6423318,SDHD
207200_at,0.0241263,-1.0723718,OTC
218453_s_at,0.0243052,-0.5796167,TMEM242
209920_at,0.0243146,-1.23431,BMPR2
216214_at,0.0243588,1.0018491,
208858_s_at,0.0243996,1.2852657,ESYT1
220284_at,0.0244142,1.09418,DKKL1
220290_at,0.0246759,-1.1573584,AIM1L
221546_at,0.0247238,-1.2711918,PRPF18
204527_at,0.024737,-0.7316341,MYO5A
210688_s_at,0.0248836,0.8634714,CPT1A
207584_at,0.0249264,1.4740088,LPA
206679_at,0.0249471,1.0920853,APBA1
210539_at,0.0250048,1.2133076,TTLL5
206157_at,0.0250193,-0.6484482,PTX3
220901_at,0.0250713,-0.9719506,GPR157
208059_at,0.0250958,-0.6253962,CCR8
202275_at,0.0253023,0.650312,G6PD
216961_s_at,0.0253256,1.3636504,RPAIN
211709_s_at,0.0253402,-0.7364335,CLEC11A
222132_s_at,0.0253486,-0.6283126,AGK
221065_s_at,0.0254071,-1.0908814,CHST8
210477_x_at,0.0254393,-1.6055041,MAPK8
204801_s_at,0.0254525,1.3451628,DHRS12
216473_x_at,0.0256156,0.9673962,DUX4L24///DBET///LOC100291626///DUX4///LOC100288289///DUX4L2///DUX4L3///DUX4L5///DUX4L6///DUX4L7///LOC652301///DUX4L4///DUX4L8///DUX4L1
218321_x_at,0.0256715,-0.6304021,STYXL1
221892_at,0.0257387,1.2071224,H6PD
220880_at,0.0258119,-1.8799267,
205327_s_at,0.0258588,-0.8080359,ACVR2A
206606_at,0.0258638,-0.6401302,LIPC
218343_s_at,0.0258842,-0.6084503,GTF3C3
210924_at,0.025917,1.3142657,OLFM1
213779_at,0.0259517,0.5074957,EMID1
215295_at,0.0261675,-0.7510294,DTNB
216916_s_at,0.0261765,0.8216868,DLGAP2
205478_at,0.0262478,0.558119,PPP1R1A
201491_at,0.0263103,-0.621597,AHSA1
210487_at,0.0263283,0.8481129,DNTT
216479_at,0.0263557,1.1617912,RPL21P28///SNORA27///SNORD102///RPL21
217158_at,0.0263577,1.2581233,PTGER4P2-CDK2AP2P2
210029_at,0.0263805,-1.2476388,IDO1
215338_s_at,0.0263904,0.6199834,NKTR
202457_s_at,0.0264163,-0.6577641,PPP3CA
207139_at,0.0264636,-1.3405368,ATP4A
203867_s_at,0.0265789,1.0583422,NLE1
209322_s_at,0.0265887,-0.6807504,SH2B1
210128_s_at,0.0266167,1.2831428,LTB4R
209445_x_at,0.0266292,-0.5453795,COA1
205663_at,0.0266425,0.9158733,PCBP3
214415_at,0.0266445,0.7835502,PLGLB1///PLGLB2
217011_at,0.0267492,0.5815159,GBX1
215940_at,0.0267717,1.2890798,LINC01361
203894_at,0.0268251,-0.4829677,TUBG2
214255_at,0.0268385,0.6855426,ATP10A
218446_s_at,0.0268978,0.529634,TVP23B
211341_at,0.0269762,-1.0803543,POU4F1
216006_at,0.0269858,0.8475707,
214721_x_at,0.0270081,0.744884,CDC42EP4
209848_s_at,0.0270507,-0.6549927,PMEL
215101_s_at,0.027052,2.0378953,CXCL5
205049_s_at,0.0270814,-0.9635138,CD79A
211259_s_at,0.0271967,0.7655394,BMP7
215367_at,0.0271991,1.1299068,KIAA1614
208112_x_at,0.0272132,0.7652069,EHD1
204367_at,0.0272155,0.485422,SP2
219786_at,0.0272194,-1.003672,TESMIN
206362_x_at,0.0272634,-0.8090233,MAP3K10
220573_at,0.0273344,-0.7365151,KLK14
202897_at,0.0273793,0.5511406,SIRPA
213029_at,0.0274253,0.5725001,NFIB
220502_s_at,0.027449,1.1395212,SLC13A1
202731_at,0.0274662,0.6427471,MIR4680///PDCD4
208324_at,0.0276016,1.296423,AKAP13
206622_at,0.027619,-0.6479539,TRH
209793_at,0.0277183,-0.892847,GRIA1
212170_at,0.0277391,1.636263,RBM12
213559_s_at,0.0277604,-0.882906,ZNF467
218726_at,0.0278107,-1.3938082,HJURP
211851_x_at,0.0278515,1.462814,BRCA1
220029_at,0.0278886,-0.9495998,ELOVL2
202203_s_at,0.0279036,-1.5796673,AMFR
206882_at,0.0279381,1.4006511,SLC1A6
201320_at,0.0280188,0.7588167,SMARCC2
205902_at,0.0280999,1.2059815,KCNN3
206637_at,0.0281587,1.6143116,P2RY14
213369_at,0.0281976,1.0149565,CDHR1
220668_s_at,0.0282209,0.9246761,DNMT3B
203395_s_at,0.0282734,0.6341067,HES1
218991_at,0.0283064,1.0938179,HEATR6
209356_x_at,0.0284697,0.5034062,EFEMP2
213205_s_at,0.0285584,0.9157138,RAD54L2
208345_s_at,0.0285612,-0.6167391,POU3F1
205315_s_at,0.028589,0.6315098,SNTB2
206447_at,0.0286306,-1.0194794,CELA2A///CELA2B
206230_at,0.0286343,0.9051672,LHX1
208657_s_at,0.0286586,1.4004564,9-Sep
209639_s_at,0.0286858,0.5568869,RGS12
215297_at,0.0287108,0.7027274,LOC441204
219385_at,0.0287608,-1.083062,SLAMF8
207618_s_at,0.0287932,-0.4350043,BCS1L
209272_at,0.0288464,0.4736668,NAB1
212432_at,0.0289745,-0.5864373,GRPEL1
204168_at,0.0289776,-0.5639847,MGST2
206605_at,0.0289863,0.9966583,ENDOU
212594_at,0.0290882,0.5978026,MIR4680///PDCD4
216182_at,0.0291247,0.6927409,SYNJ2
215508_at,0.0291808,-1.4514322,BUB1
215005_at,0.0292318,1.1940884,NECAB2
216331_at,0.0292359,0.6960973,ITGA7
206435_at,0.029307,-0.8148432,B4GALNT1
