ID,P.Value,logFC,Gene.symbol
242669_at,0.0112753,-1.6431562,UFM1
202253_s_at,0.0113051,-1.6703561,DNM2
244891_x_at,0.0113178,-1.7022442,
217073_x_at,0.0113226,-1.8031526,APOA1
221214_s_at,0.0113494,1.9276667,MIR7114///NSMF
1561234_at,0.0113792,2.4417216,
225747_at,0.0113816,1.7612114,COQ10A
237563_s_at,0.0114271,1.7424111,
241120_s_at,0.0115166,-1.3348707,CDC20B
208242_at,0.0115204,-2.094845,RAX
215721_at,0.0115237,-1.7367969,LOC100293211///IGHG1
1568856_at,0.0115497,-2.4009341,NBR1
243301_at,0.011551,-2.470224,COL22A1
241562_x_at,0.011559,-2.3859863,
1554356_at,0.0115607,-1.9923076,GINS4
1563057_at,0.0115837,-1.9498632,
238734_at,0.0116199,1.5835501,
1559979_at,0.0116287,-2.5236903,SYF2
209062_x_at,0.0116315,2.3983477,NCOA3
243871_at,0.0116324,-2.9458624,LOC100130476
1552830_at,0.0117413,-2.1748992,FBXO39
215043_s_at,0.0117575,2.0294236,GUSBP3///SMA5///SMA4
219906_at,0.0117808,2.1763207,EBLN2
1561002_at,0.0118197,-1.8173124,
216133_at,0.0118531,3.2092059,YME1L1
224423_x_at,0.0118577,-2.6653917,PMCHL2
1558877_at,0.0118729,1.513572,
206837_at,0.0118982,-2.369911,ALX1
232238_at,0.0119631,-1.9742362,ASPM
207667_s_at,0.0119636,2.3304067,LOC100996792///MAP2K3
234042_at,0.0119899,2.2234745,TAS2R45///TAS2R43
226950_at,0.012053,2.1521253,ACVRL1
229487_at,0.0120764,2.271243,EBF1
215700_x_at,0.0120896,1.8822377,CPNE6
217778_at,0.0121142,1.7901541,SLC39A1
210855_at,0.0121374,-1.6869434,GREB1
