ID,P.Value,logFC,Gene.symbol
217258_x_at,0.00393084,2.30984077,IGLV1-44
206097_at,0.00393711,-2.33339254,SLC22A18AS
213425_at,0.00395378,-1.96997432,WNT5A
205336_at,0.00396369,-2.10570912,PVALB
241312_at,0.00398703,-3.53494784,LINC00911
241181_x_at,0.00400557,-2.24975767,
236450_at,0.00402007,2.44733108,
236307_at,0.0040403,2.69010394,
201469_s_at,0.00404466,1.73878696,SHC1
228642_at,0.00406282,2.71069791,HOTAIRM1
1560262_at,0.00406755,1.88539427,
229435_at,0.00407583,2.38497795,GLIS3
217132_at,0.00407607,-2.15772391,
1561181_at,0.00409155,2.59062418,
1567080_s_at,0.00409544,-2.45100146,CLN6
219162_s_at,0.00415691,-2.20330469,MRPL11
204776_at,0.00420677,1.852043,THBS4
223901_at,0.00421029,-1.98541389,SYT3
205866_at,0.00421307,2.65182313,FCN3
1567010_at,0.00423627,-2.77587394,
206628_at,0.00423868,-2.31838446,SLC5A1
222453_at,0.00431776,2.37982783,CYBRD1
226553_at,0.00432208,2.50561001,TMPRSS2
209933_s_at,0.00435045,1.97950081,CD300A
207538_at,0.00435201,-2.72143251,IL4
212924_s_at,0.00436991,-1.23564011,LSM4
216675_at,0.00437654,-2.33929833,
1561208_at,0.0043774,3.00484532,
220979_s_at,0.00438551,-1.1909363,ST6GALNAC5
34260_at,0.00441897,-2.5980411,TELO2
1552899_at,0.00442801,2.49899061,LINC01312
1566538_at,0.00443211,2.83662775,MAGI1
234779_at,0.00445208,2.47629447,
238301_at,0.00447405,2.05468673,
222105_s_at,0.00450733,2.46612429,NKIRAS2
234576_at,0.00451668,-1.98229936,ANPEP
1567624_at,0.00451859,-2.11022535,TREML5P
236170_x_at,0.00451957,2.00012068,
1558885_at,0.00452686,2.06851462,
210018_x_at,0.00453217,2.35136534,MALT1
209621_s_at,0.00454457,2.08310008,PDLIM3
210997_at,0.00455052,2.62118092,HGF
242610_x_at,0.00455947,2.76471933,
