ID,P.Value,logFC,Gene.symbol
242226_at,0.00681421,-2.43084724,GS1-279B7.1
241396_at,0.00683577,-1.86439967,NEDD4L
205719_s_at,0.00684028,-3.15020103,LOC101929036///PAH
1555027_at,0.00685023,1.81811176,LOC101927705///P4HA2
205239_at,0.00686037,1.84849816,AREG
230340_s_at,0.00686958,-1.98486357,WASL
204337_at,0.00688183,-1.77648091,RGS4
1553976_a_at,0.00688222,-2.20324447,DPCD
203770_s_at,0.00688537,-2.27272399,STS
230327_at,0.00691107,-2.01334213,LOC730098
233075_at,0.00692394,-2.45872792,HERC2P7
1558856_at,0.00694177,2.09653788,DMRTA2
238375_at,0.0069428,-2.60813428,
234014_at,0.00694612,3.02598251,NPAS3
1555338_s_at,0.00697462,-1.92725419,AQP10
1553178_a_at,0.0069985,1.93612098,SSTR3
230084_at,0.00700628,2.41716376,SLC30A2
215625_at,0.00702309,1.93373759,LOC101928669///LOC644450
236088_at,0.00705404,-2.06156613,NTNG1
209500_x_at,0.00707478,1.88502544,TNFSF12-TNFSF13///TNFSF13
221283_at,0.00712627,2.20645914,RUNX2
234596_at,0.00712627,2.27525357,
230498_at,0.00713009,-2.15373965,MCHR1
237362_at,0.00715454,1.50585769,ZFP41
219334_s_at,0.00715639,2.47773698,NABP1
236391_at,0.00716825,-1.93514589,
211201_at,0.00717119,2.08973557,FSHR
221391_at,0.00717525,1.80041558,TAS2R14
239877_at,0.00721077,-2.15799604,LOC157740
228778_at,0.00721269,2.6462833,MCPH1
1562751_at,0.00724442,1.91404817,
214230_at,0.00724499,-1.23711083,CDC42
238901_at,0.00725783,-3.00471931,LINC01133
206878_at,0.00726806,2.23135739,DAO
1558116_x_at,0.00730678,2.34895356,RECK
1556086_at,0.00731096,3.13564265,HPF1
1570480_s_at,0.00734863,2.24960481,ART1
1560988_a_at,0.00738676,2.1559159,LINC00556
218907_s_at,0.00740109,-2.42957543,LRRC61
210724_at,0.0074274,2.2797929,ADGRE3
228599_at,0.00744478,-2.39338684,MS4A1
225385_s_at,0.00745869,-1.41345476,HNRNPLL
1554224_at,0.00747833,-2.71477366,LOC101929497
222602_at,0.00749664,-3.30731443,UBA6
239971_at,0.00751934,2.46321456,
208678_at,0.00752839,-1.24485238,ATP6V1E1
1553909_x_at,0.00754043,-2.16153595,SLF2
220722_s_at,0.00763362,-2.34698423,SLC5A7
1564491_at,0.00763869,3.27275984,SPANXA2-OT1
1569868_s_at,0.00771428,-2.62630537,EME2
1553011_at,0.00775585,2.26969211,TAF1L
212332_at,0.00777212,1.63046491,RBL2
1553689_s_at,0.00777525,1.42778477,METTL6
243431_at,0.00778093,2.49560306,
240236_at,0.00779339,-1.65650965,STXBP5L
237301_at,0.00780478,-1.28366992,
230731_x_at,0.00780932,1.87438044,ZDHHC8
237331_s_at,0.00782233,2.01312811,MAPT-AS1
202134_s_at,0.00782323,2.14931,WWTR1
233409_at,0.00786429,-3.22309695,RHBDL3
242307_at,0.00787708,2.00959305,ZNF789
218359_at,0.00788098,-2.05372499,NRSN2
231632_at,0.00790918,1.67706952,ERICH4
239853_at,0.00792997,-2.49943294,KLC3
226368_at,0.00793133,2.05875519,CHST11
1554018_at,0.00794545,-2.27363451,GPNMB
1565149_at,0.00797054,-2.60636652,DYNC2H1
1569569_x_at,0.00797368,-3.02849406,
1559141_s_at,0.00803372,-2.57412505,FAM87B///FAM87A
238498_at,0.00804461,2.25055174,
203442_x_at,0.00805964,2.30394304,EML3
234908_s_at,0.0080659,2.17350797,DSCAML1
241423_at,0.00806754,1.62659477,ZBED3-AS1
203599_s_at,0.00810842,-1.30819793,WBP4
1559410_at,0.00811039,1.3676969,
239132_at,0.00813258,1.90393202,NOS1
229832_x_at,0.00814456,1.81940595,SH3TC1
226599_at,0.00816395,2.29357565,FHDC1
219388_at,0.00818506,-2.61189062,GRHL2
1556366_s_at,0.00818646,-1.70138161,LY86-AS1
241831_at,0.00822627,1.86847536,
1555229_a_at,0.00823621,1.98989202,C1S
